x0000,y0000
0.,3.134644
2.,5.1439056
4.,8.757267
6.,13.363494
8.,17.518652
10.,25.424662
12.,30.494799
14.,37.46487
16.,44.37763
18.,53.366135
20.,59.932636
22.,67.34615
24.,75.191864
26.,83.29147
28.,89.11622
30.,93.701775
32.,100.46385
34.,103.30639
36.,105.25861
38.,109.26081
40.,109.30236
42.,112.03913
44.,109.778244
46.,109.15698
48.,107.00157
50.,100.94225
52.,96.897285
54.,90.79982
56.,86.02993
58.,78.190094
60.,72.88291
62.,64.18946
64.,55.59059
66.,48.67985
68.,41.826115
70.,34.058002
72.,27.596071
74.,21.35816
76.,15.786039
78.,9.434445
80.,6.6569896
82.,3.99746
84.,1.8913713
86.,0.46956947
88.,0.7708894
90.,1.9300959
92.,4.791521
94.,7.7376766
96.,12.637528
98.,17.701197
100.,22.161213
102.,29.710392
104.,36.731525
106.,45.014503
108.,51.8112
110.,58.63546
112.,66.715096
114.,75.02904
116.,81.347626
118.,89.67932
120.,93.481895
122.,97.9351
124.,104.40395
126.,107.15843
128.,107.46009
130.,109.39851
132.,111.55324
134.,110.135574
136.,108.11537
138.,105.539345
140.,102.18807
142.,95.94323
144.,89.96324
146.,84.97927
148.,76.500755
150.,70.94511
152.,63.973255
154.,55.500015
156.,47.544956
158.,41.164116
160.,33.34915
162.,26.563467
164.,21.040081
166.,14.500799
168.,11.281856
170.,6.5913815
172.,3.9456296
174.,1.7518158
176.,2.0078704
178.,1.4573525
180.,3.5453424
182.,4.7464514
184.,9.203573
186.,14.738375
188.,18.50927
190.,24.624126
192.,31.267084
194.,37.426476
196.,45.55873
198.,53.111263
200.,59.552944
202.,67.69295
204.,74.155754
206.,80.68967
208.,86.486435
210.,91.75126
212.,96.555695
214.,101.21489
216.,105.00762
218.,106.18607
220.,107.78133
222.,108.732376
224.,107.04226
226.,104.62996
228.,103.4111
230.,99.574425
232.,95.67504
234.,89.745995
236.,84.619965
238.,76.709946
240.,68.91552
242.,61.666637
244.,55.521233
246.,48.931072
248.,39.58954
250.,32.513466
252.,26.209787
254.,20.871115
256.,13.799524
258.,10.759169
260.,6.386053
262.,3.0827672
264.,2.721677
266.,0.93480504
268.,0.64028156
270.,1.8278583
272.,5.050096
274.,8.225511
276.,12.621785
278.,16.485466
280.,23.619846
282.,30.406187
284.,38.19103
286.,44.96323
288.,51.71938
290.,60.776382
292.,69.0142
294.,75.01172
296.,83.26011
298.,88.10469
300.,95.92331
302.,99.65361
304.,107.10164
306.,108.26135
308.,112.92465
310.,113.497734
312.,112.24548
314.,111.612404
316.,112.66223
318.,110.35159
320.,106.394165
322.,100.24891
324.,94.35696
326.,87.98831
328.,81.0964
330.,75.321815
332.,67.795334
334.,58.44579
336.,51.011463
338.,43.07389
340.,36.25769
342.,28.554659
344.,21.83632
346.,16.635775
348.,10.710756
350.,6.800379
